OLS,	LASSO,		ELASTIC,	RIDGE,		NNG
12.797,	9.8985,		10.014,		9.542,		12.781
1.4038,	0.14846,	0.11469,	0.17252,	1.4014
4.1637,	2.498,		2.494,		2.4695,		4.1513
6.5699,	2.4577,		2.3942,		2.0729,		6.5489
3.1736,	2.4834,		2.4966,		2.442,		3.1607
0.91529,0.042091,	0.044217,	0.1807,		0.91432
1.6082,	0.19667,	0.15152,	0.28103,	1.6046
13.434,	10.914,		10.888,		10.794,		13.4
2.333,	0.33713,	0.24285,	0.33251,	2.3067
1.8599,	0.35543,	0.31631,	0.52293,	1.8498
1.1372,	0.13331,	0.089367,	0.10225,	1.1322
6.5326,	2.4819,		2.5339,		2.3793,		6.5182
3.2645,	2.8123,		2.7004,		2.6727,		3.2592
3.0668,	0.64162,	0.70505,	0.73296,	3.0579
3.1635,	2.6965,		2.6904,		2.8025,		3.1564
1.0356,	0.039361,	0.060475,	0.13206,	1.0332
3.5222,	2.8055,		2.813,		2.9019,		3.516
1.4862,	0.31616,	0.32958,	0.42254,	1.4813
4.2221,	2.3511,		2.3277,		2.4798,		4.2114
6.9475,	3.6835,		3.7216,		3.7669,		6.9356
1.2532,	0.11527,	0.08731,	0.084286,	1.246
3.7259,	2.6103,		2.5846,		2.5493,		3.6606
0.98788,0.07349,	0.076477,	0.10712,	0.98642
1.1483,	0.11292,	0.095005,	0.24615,	1.142
10.01,	4.1541,		4.1815,		4.267,		10.004
3.6165,	2.6439,		2.6342,		2.6974,		3.6037
